Record Number	Plant Species	Plant Genus	Plant Family	Mosquito species	Mosquito Species (grouping)	Country of the study	LatDD	LonDD	Number of species of plant studied	Number of attractive plants	Reason of plant selection	Methodology approach	Observation/experimental design	Control/No control	Measurements	Sex	Replicates	General purpose of the study	Detailed purpose of the study	Rick of bias of the study	Study ID	Year
81	Brassica rapa	Brassica	Brassicaceae 	Aedes stimulans	Other Aedes species	"Connecticut, USA"	41.599998	-72.699997	7	4	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferents and feeding habits during the day and seasonality	High	Magnarelli_1983_113	1983
82	Brassica rapa	Brassica	Brassicaceae 	Aedes canadensis	Other Aedes species	"Connecticut, USA"	41.599998	-72.699997	7	4	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferents and feeding habits during the day and seasonality	High	Magnarelli_1983_113	1983
83	Campsis radicans	Campsis	Bignoniaceae	Aedes aegypti	Aedes aegypti	"Texas, USA"	31.000000	-100	5	5	Attractive in previous studies	Lab	Dye food markers on vegetation	Yes	Proportion of dyed mosquitoes	"Females, Males"	3	Study of mosquito plant preferences	Study of mosquito plant preferences and survival	High	Chen_2015_110	2015
84	Campsis radicans	Campsis	Bignoniaceae	Culex pipiens	Culex pipiens	"Texas, USA"	31.000000	-100	5	5	Attractive in previous studies	Lab	Dye food markers on vegetation	Yes	Proportion of dyed mosquitoes	"Females, Males"	3	Study of mosquito plant preferences	Study of mosquito plant preferences and survival	High	Chen_2015_110	2015
85	Cassia fasciculata = Chamaecrista fasciculata	Cassia	Fabaceae	Aedes albopictus	Aedes albopictus	"Florida, USA"	27.994402	-81.760254	Not known	1	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of observations of mosquitoes feeding on nectar	"Females, Males"		Study of mosquito plant preferences	Composition of nectar ingested by mosquitoes - Gas chromatography	High	Burkett_1999_167	1999
86	Cassia fasciculata = Chamaecrista fasciculata	Cassia	Fabaceae	Culex nigripalpus	Other Culex species	"Florida, USA"	27.994402	-81.760254	Not known	1	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of observations of mosquitoes feeding on nectar	"Females, Males"		Study of mosquito plant preferences	Composition of nectar ingested by mosquitoes - Gas chromatography	High	Burkett_1999_167	1999
87	Cassia fasciculata = Chamaecrista fasciculata	Cassia	Fabaceae	Psorophora ferox	Other mosquito species	"Florida, USA"	27.994402	-81.760254	Not known	1	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of observations of mosquitoes feeding on nectar	"Females, Males"		Study of mosquito plant preferences	Composition of nectar ingested by mosquitoes - Gas chromatography	High	Burkett_1999_167	1999
88	Cassia fasciculata = Chamaecrista fasciculata	Cassia	Fabaceae	Uranotaenia sapphirina	Other mosquito species	"Florida, USA"	27.994402	-81.760254	Not known	1	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of observations of mosquitoes feeding on nectar	"Females, Males"		Study of mosquito plant preferences	Composition of nectar ingested by mosquitoes - Gas chromatography	High	Burkett_1999_167	1999
89	Cassia sieberiana	Cassia	Fabaceae	Anopheles gambiae	Anopheles gambiae	Burkina Faso	12.10870904	-1.693281621	Not known	5	Observation of mosquitoes visiting/feeding on the plants	"Field, Lab"	"Single choice, Cold anthrone method"	Not known	"Proportion of mosquitoes feeding on plants, Cold anthrone method"	Males	Every 3 days for 4 months	Study of mosquito plant preferences	Study of mosquito plant preferences	High	Gouagna_2010_135	2010
90	Catalpa bignonioides	Catalpa	Bignoniaceae	Aedes trivittatus	Aedes trivittatus	"Minnesota, USA"	46.39241	-94.63623	Not known	47	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Sandholm_1962_66	1962
91	Catalpa bignonioides	Catalpa	Bignoniaceae	Culex restuans	Culex restuans	"Minnesota, USA"	46.39241	-94.63623	Not known	47	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Sandholm_1962_66	1962
92	Catalpa bignonioides	Catalpa	Bignoniaceae	Aedes vexans	Aedes vexans	"Minnesota, USA"	46.39241	-94.63623	Not known	47	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Sandholm_1962_66	1962
93	Chrysanthemum sp.	Chrysanthemum	Asteraceae	Aedes fitchii	Other Aedes species	"Minnesota, USA"	46.39241	-94.63623	Not known	47	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Sandholm_1962_66	1962
94	Chrysanthemum sp.	Chrysanthemum	Asteraceae	Culex restuans	Culex restuans	"Minnesota, USA"	46.39241	-94.63623	Not known	47	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Sandholm_1962_66	1962
95	Cirsium arvense	Cirsium	Asteraceae	Aedes vexans	Aedes vexans	"Minnesota, USA"	46.39241	-94.63623	Not known	47	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Sandholm_1962_66	1962
96	Cirsium arvense	Cirsium	Asteraceae	Aedes cinereus	Aedes cinereus	"Minnesota, USA"	46.39241	-94.63623	Not known	47	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Sandholm_1962_66	1962
97	Cirsium lanceolatum = Cirsium vulgare	Cirsium	Asteraceae	Aedes vexans	Aedes vexans	"Minnesota, USA"	46.39241	-94.63623	Not known	47	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Sandholm_1962_66	1962
98	Conocarpus erectus	Conocarpus	Combretaceae	Aedes taeniorhynchus	Other Aedes species	"Florida, USA"	27.994402	-81.760254	Not known	3	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of observations of mosquitoes feeding on nectar	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences and daily feeding habits	High	Haeger_1955_216	1955
99	Conocarpus erectus	Conocarpus	Combretaceae	Psorophora howardii	Other mosquito species	"Florida, USA"	27.994402	-81.760254	Not known	3	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of observations of mosquitoes feeding on nectar	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences and daily feeding habits	High	Haeger_1955_216	1955
100	Cornus amomum	Cornus	Cornaceae	Culex pipiens	Culex pipiens	"Wisconsin, USA"	44.5	-89.5	77	23	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Grimstad_1974_112	1974
101	Cornus sericea	Cornus	Cornaceae	Aedes provocans	Aedes provocans	Canada 	57.55048004	-98.41680518	Not known	19	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Rank intensity of mosquitoes feeding on plants	Females		Study of mosquito plant preferences	Study of mosquito feeding habits and gonotrophic activity in females	Low	Gadawski_1992_111	1992
102	Cornus sericea = Cornus stolonifera	Cornus	Cornaceae	Aedes vexans	Aedes vexans	"Wisconsin, USA"	44.5	-89.5	77	23	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Grimstad_1974_112	1974
103	Cornus sericea = Cornus stolonifera	Cornus	Cornaceae	Aedes stimulans	Other Aedes species	"Wisconsin, USA"	44.5	-89.5	77	23	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Grimstad_1974_112	1974
104	Cornus sericea	Cornus	Cornaceae	Aedes cinereus	Aedes cinereus	"Minnesota, USA"	46.39241	-94.63623	Not known	47	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Sandholm_1962_66	1962
105	Cornus sericea	Cornus	Cornaceae	Aedes trivittatus	Aedes trivittatus	"Minnesota, USA"	46.39241	-94.63623	Not known	47	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Sandholm_1962_66	1962
106	Crataegus corusca	Crataegus	Rosaceae	Aedes provocans	Aedes provocans	Canada 	57.55048004	-98.41680518	Not known	19	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Rank intensity of mosquitoes feeding on plants	Females		Study of mosquito plant preferences	Study of mosquito feeding habits and gonotrophic activity in females	Low	Gadawski_1992_111	1992
107	Crataegus punctata	Crataegus	Rosaceae	Aedes provocans	Aedes provocans	Canada 	57.55048004	-98.41680518	Not known	19	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Rank intensity of mosquitoes feeding on plants	Females		Study of mosquito plant preferences	Study of mosquito feeding habits and gonotrophic activity in females	Low	Gadawski_1992_111	1992
108	Crataegus scabrida	Crataegus	Rosaceae	Aedes provocans	Aedes provocans	Canada 	57.55048004	-98.41680518	Not known	19	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Rank intensity of mosquitoes feeding on plants	Females		Study of mosquito plant preferences	Study of mosquito feeding habits and gonotrophic activity in females	Low	Gadawski_1992_111	1992
109	Cucurbita pepo	Cucurbita	Cucurbitaceae	Aedes aegypti	Aedes aegypti	"West Virginia, USA"	39	-80.5	1	1	Characteristics of the plant	Lab	Observation of mosquitoes feeding on nectar		Number of observations of mosquitoes feeding on nectar	"Females, Males"		Effects of mosquito feeding behaviour	Effects of mosquito feeding behaviour in bacteria transmission	High	Kenney_2017_194	2017
110	Dasiphora fruticosa = Potentila fruticosa	Dasiphora	Rosaceae	Aedes vexans	Aedes vexans	"Minnesota, USA"	46.39241	-94.63623	Not known	47	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Sandholm_1962_66	1962
111	Dasiphora fruticosa = Potentila fruticosa	Dasiphora	Rosaceae	Aedes fitchii	Other Aedes species	"Minnesota, USA"	46.39241	-94.63623	Not known	47	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Sandholm_1962_66	1962
112	Dasiphora fruticosa = Potentila fruticosa	Dasiphora	Rosaceae	Culiseta inornata	Culiseta species	"Minnesota, USA"	46.39241	-94.63623	Not known	47	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Sandholm_1962_66	1962
113	Dasiphora fruticosa = Potentila fruticosa	Dasiphora	Rosaceae	Coquillettidia perturbans	Coquillettidia species	"Minnesota, USA"	46.39241	-94.63623	Not known	47	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Sandholm_1962_66	1962
114	Daucus carota	Daucus	Apiaceae	Aedes sollicitans	Aedes sollicitans	"Connecticut, USA"	41.599998	-72.699997	17	9	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences and gonotrophic activity in females	Low	Magnarelli_1977_105	1977
115	Daucus carota	Daucus	Apiaceae	Aedes cantator	Aedes cantator	"Connecticut, USA"	41.599998	-72.699997	17	7	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Magnarelli_1978_33	1978
116	Daucus carota	Daucus	Apiaceae	Aedes trivittatus	Aedes trivittatus	"Ohio, USA"	40.367474	-82.996216	6	4	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito feeding habits	Study of mosquito feeding habits depending on the time distribution (blood and nectar feeding)	Low	Yee_1992_157	1992
117	Daucus carota	Daucus	Apiaceae	Aedes vexans	Aedes vexans	"Ohio, USA"	40.367474	-82.996216	6	4	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito feeding habits	Study of mosquito feeding habits depending on the time distribution (blood and nectar feeding)	Low	Yee_1992_157	1992
118	Delonix regia	Delonix	Fabaceae	Anopheles gambiae	Anopheles gambiae	Burkina Faso	12.10870904	-1.693281621	Not known	5	Observation of mosquitoes visiting/feeding on the plants	"Field, Lab"	"Single choice, Cold anthrone method"	Not known	"Proportion of mosquitoes feeding on plants, Cold anthrone method"	Males	Every 3 days for 4 months	Study of mosquito plant preferences	Study of mosquito plant preferences	High	Gouagna_2010_135	2010
119	Dryas integrifolia	Dryas	Rosaceae	Aedes impiger 	Other Aedes species	Canada 	57.55048004	-98.41680518	1	1	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of observations of mosquitoes feeding on nectar	"Females, Males"		Effects of mosquito feeding behaviour	Effects of mosquito feeding behaviour in autogeny and oviposition	High	Corbet_1964_28	1964
120	Dryas integrifolia	Dryas	Rosaceae	Aedes nigripes	Other Aedes species	Canada 	57.55048004	-98.41680518	1	1	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of observations of mosquitoes feeding on nectar	"Females, Males"		Effects of mosquito feeding behaviour	Effects of mosquito feeding behaviour in autogeny and oviposition	High	Corbet_1964_28	1964
121	Duranta erecta	Duranta	Verbenaceae	Anopheles arabiensis	Anopheles arabiensis	Reunion	-21.1151	55.5364	5	2	Attractive in previous studies	Semifield	"Single choice, Cold anthrone method"	Yes	"Proportion of mosquitoes feeding on plants, Cold anthrone method"	Males		Study of mosquito plant preferences	Study of mosquito plant preferences and mosquito energy reserves	High	Gouagna_2014_170	2014
122	Echinocystis lobata	Echinocystis	Cucurbitaceae	Aedes vexans	Aedes vexans	"Minnesota, USA"	46.39241	-94.63623	Not known	47	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Sandholm_1962_66	1962
123	Echinocystis lobata	Echinocystis	Cucurbitaceae	Aedes cinereus	Aedes cinereus	"Minnesota, USA"	46.39241	-94.63623	Not known	47	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Sandholm_1962_66	1962
124	Epipactis helleborine	Epipactis	Orchidaceae	Culicidae	Other mosquito species	Poland	52.06848056	19.43573279	1	1	Characteristics of the plant	Field	Observation of mosquitoes feeding on nectar		Number of observations and mosquitoes collected	"Females, Males"		Study of pollination	Study of pollination	High	Rewicz_2017_145	2017
125	Eupatorium perfoliatum	Eupatorium	Asteraceae	Culex restuans	Culex restuans	"Wisconsin, USA"	44.5	-89.5	77	23	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Grimstad_1974_112	1974
126	Eupatorium perfoliatum	Eupatorium	Asteraceae	Anopheles earlei	Other Anopheles species	"Wisconsin, USA"	44.5	-89.5	77	23	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Grimstad_1974_112	1974
127	Eupatorium perfoliatum	Eupatorium	Asteraceae	Coquillettidia perturbans	Coquillettidia species	"Wisconsin, USA"	44.5	-89.5	77	23	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Grimstad_1974_112	1974
128	Eupatorium spp.	Eupatorium	Asteraceae	Aedes taeniorhynchus	Other Aedes species	"Florida, USA"	27.994402	-81.760254	Not known	3	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of observations of mosquitoes feeding on nectar	"Females, Males"		Study of mosquito feeding habits	Study of mosquito feeding habits before migration	High	Haeger_1960_29	1960
129	Euphorbia corollata	Euphorbia	Euphorbiaceae	Aedes vexans	Aedes vexans	"Wisconsin, USA"	44.5	-89.5	77	23	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Grimstad_1974_112	1974
130	Euphorbia corollata	Euphorbia	Euphorbiaceae	Coquillettidia perturbans	Coquillettidia species	"Wisconsin, USA"	44.5	-89.5	77	23	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Grimstad_1974_112	1974
131	Eutrochium purpureum	Eutrochium	Asteraceae	Aedes vexans	Aedes vexans	"Minnesota, USA"	46.39241	-94.63623	Not known	47	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Sandholm_1962_66	1962
132	Eutrochium purpureum	Eutrochium	Asteraceae	Culex restuans	Culex restuans	"Minnesota, USA"	46.39241	-94.63623	Not known	47	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Sandholm_1962_66	1962
133	Fraxinus pennsylvanica	Fraxinus	Oleaceae	Aedes fitchii	Other Aedes species	"Minnesota, USA"	46.39241	-94.63623	Not known	47	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Sandholm_1962_66	1962
134	Galphimia gracilis	Galphimia	Malpighiaceae	Aedes aegypti	Aedes aegypti	Mali	17.16814621	-4.346399842	7	5	Present and abundant in the study sites	Lab	"Single choice, Cold anthrone method"	Yes	"Proportion of mosquitoes feeding on plants, Cold anthrone method"	"Females, Males"	6	Study of mosquito plant preferences	Study of mosquito plant preferences	High	Sissoko_2019_71a	2019
135	Gerardia maritima = Agalinis maritima	Gerardia	Orobanchaceae	Aedes sollicitans	Aedes sollicitans	"Connecticut, USA"	41.599998	-72.699997	17	9	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences and gonotrophic activity in females	Low	Magnarelli_1977_105	1977
136	Hamelia patens	Hamelia	Rubiaceae	Anopheles gambiae	Anopheles gambiae	Kenya	0.689918232	37.95309411	13	6	Present and abundant in the study sites	Lab	"Choice assay, Gas chromatography in mosquito crops and plants"	Yes	Proportion of mosquitoes feeding on plants	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Manda_2007_42b	2007
137	Hamelia patens	Hamelia	Rubiaceae	Anopheles gambiae	Anopheles gambiae	Kenya	0.689918232	37.95309411	13	5	Present and abundant in the study sites	Lab	Choice assay	Not known	"Proportion of mosquitoes feeding on plants, Cold anthrone method"	"Females, Males"	"Latin square design (13 plant species in 13 positions in the
caged arena)"	Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Manda_2007_42a	2007
138	Harungana madagascariensis	Harungana	Hypericaceae	Aedes africanus	Other Aedes species	Uganda	1.282172922	32.34371768	4	1	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito feeding habits	Study of mosquito feeding habits	Low	McCrae_1964_227	1969
139	Harungana madagascariensis	Harungana	Hypericaceae	Aedes apicoargenteus	Other Aedes species	Uganda	1.282172922	32.34371768	4	1	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito feeding habits	Study of mosquito feeding habits	Low	McCrae_1964_227	1969
140	Harungana madagascariensis	Harungana	Hypericaceae	Anopheles paludis	Other Anopheles species	Uganda	1.282172922	32.34371768	4	1	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito feeding habits	Study of mosquito feeding habits	Low	McCrae_1964_227	1969
141	Harungana madagascariensis	Harungana	Hypericaceae	Aedes ingrami	Other Aedes species	Uganda	1.282172922	32.34371768	4	1	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito feeding habits	Study of mosquito feeding habits	Low	McCrae_1964_227	1969
142	Harungana madagascariensis	Harungana	Hypericaceae	Culex annulioris	Other Culex species	Uganda	1.282172922	32.34371768	4	1	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito feeding habits	Study of mosquito feeding habits	Low	McCrae_1964_227	1969
143	Harungana madagascariensis	Harungana	Hypericaceae	Culex insignis	Other Culex species	Uganda	1.282172922	32.34371768	4	1	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito feeding habits	Study of mosquito feeding habits	Low	McCrae_1964_227	1969
144	Harungana madagascariensis	Harungana	Hypericaceae	Culex subrima	Other Culex species	Uganda	1.282172922	32.34371768	4	1	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito feeding habits	Study of mosquito feeding habits	Low	McCrae_1964_227	1969
145	Harungana madagascariensis	Harungana	Hypericaceae	Mansonia africana	Mansonia species	Uganda	1.282172922	32.34371768	4	1	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito feeding habits	Study of mosquito feeding habits	Low	McCrae_1964_227	1969
146	Harungana madagascariensis	Harungana	Hypericaceae	Mansonia aurites	Mansonia species	Uganda	1.282172922	32.34371768	4	1	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito feeding habits	Study of mosquito feeding habits	Low	McCrae_1964_227	1969
147	Harungana madagascariensis	Harungana	Hypericaceae	Mansonia fuscopennata	Mansonia species	Uganda	1.282172922	32.34371768	4	1	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito feeding habits	Study of mosquito feeding habits	Low	McCrae_1964_227	1969
148	Harungana madagascariensis	Harungana	Hypericaceae	Mansonia maculipennis	Mansonia species	Uganda	1.282172922	32.34371768	4	1	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito feeding habits	Study of mosquito feeding habits	Low	McCrae_1964_227	1969
149	Harungana madagascariensis	Harungana	Hypericaceae	Mansonia pseudoconopas	Mansonia species	Uganda	1.282172922	32.34371768	4	1	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito feeding habits	Study of mosquito feeding habits	Low	McCrae_1964_227	1969
150	Harungana madagascariensis	Harungana	Hypericaceae	Mansonia uniformis	Mansonia species	Uganda	1.282172922	32.34371768	4	1	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito feeding habits	Study of mosquito feeding habits	Low	McCrae_1964_227	1969
151	Harungana madagascariensis	Harungana	Hypericaceae	Mansonia metallica	Mansonia species	Uganda	1.282172922	32.34371768	4	1	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito feeding habits	Study of mosquito feeding habits	Low	McCrae_1964_227	1969
152	Harungana madagascariensis	Harungana	Hypericaceae	Eretmapodites spp.	Other mosquito species	Uganda	1.282172922	32.34371768	4	1	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito feeding habits	Study of mosquito feeding habits	Low	McCrae_1964_227	1969
153	Harungana madagascariensis	Harungana	Hypericaceae	Ficalbia sp.	Other mosquito species	Uganda	1.282172922	32.34371768	4	1	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito feeding habits	Study of mosquito feeding habits	Low	McCrae_1964_227	1969
154	Harungana madagascariensis	Harungana	Hypericaceae	Toxorhynchites spp.	Other mosquito species	Uganda	1.282172922	32.34371768	4	1	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito feeding habits	Study of mosquito feeding habits	Low	McCrae_1964_227	1969
155	Harungana madagascariensis	Harungana	Hypericaceae	Uranotaenia spp.	Other mosquito species	Uganda	1.282172922	32.34371768	4	1	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito feeding habits	Study of mosquito feeding habits	Low	McCrae_1964_227	1969
156	Helianthus annuus 	Helianthus	Asteraceae	Culex tarsalis	Other Culex species	"California, USA"	36.778259	-119.417931	3	2	Present and abundant in the study sites	Lab	Single choice	Yes	Content of sugars in mosquito crops	"Females, Males"		Study of mosquito feeding habits	Study of mosquito feeding habits when overwintering	High	Schaefer_1972_158	1972
157	Heracleum maximum 	Heracleum	Umbelliferae	Aedes dorsalis	Other Aedes species	"Minnesota, USA"	46.39241	-94.63623	Not known	47	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Sandholm_1962_66	1962
158	Heracleum maximum 	Heracleum	Umbelliferae	Aedes excrucians	Other Aedes species	"Minnesota, USA"	46.39241	-94.63623	Not known	47	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Sandholm_1962_66	1962
159	Heracleum maximum 	Heracleum	Umbelliferae	Aedes sticticus	Other Aedes species	"Minnesota, USA"	46.39241	-94.63623	Not known	47	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Sandholm_1962_66	1962
160	Heracleum maximum 	Heracleum	Umbelliferae	Aedes vexans	Aedes vexans	"Minnesota, USA"	46.39241	-94.63623	Not known	47	Present and abundant in the study sites	Field	Observation of mosquitoes feeding on nectar		Number of mosquitoes collected	"Females, Males"		Study of mosquito plant preferences	Study of mosquito plant preferences	Low	Sandholm_1962_66	1962
